Date : 2021-02-27 19:04:41
Directory : c:\Users\vardy\OneDrive\GardenHouse\Assets
Total : 1232 files,  212424 codes, 39564 comments, 40969 blanks, all 292957 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverFullBodyBiped.cs                                       | C#        |        347 |        148 |         86 |        581 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverHeuristic.cs                                           | C#        |        146 |         48 |         42 |        236 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverLeg.cs                                                 | C#        |        109 |         12 |         28 |        149 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverLimb.cs                                                | C#        |        146 |         69 |         50 |        265 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverLookAt.cs                                              | C#        |        273 |        111 |         79 |        463 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverTrigonometric.cs                                       | C#        |        198 |         87 |         79 |        364 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverVR.cs                                                  | C#        |        493 |         74 |        124 |        691 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverVRArm.cs                                               | C#        |        340 |         88 |        100 |        528 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverVRBodyPart.cs                                          | C#        |         76 |          6 |         23 |        105 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverVRFootstep.cs                                          | C#        |         76 |          0 |         21 |         97 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverVRLeg.cs                                               | C#        |        243 |         71 |         67 |        381 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverVRLocomotion.cs                                        | C#        |        269 |         67 |         91 |        427 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverVRSpine.cs                                             | C#        |        386 |        149 |        130 |        665 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\IKSolverVRUtilities.cs                                         | C#        |        168 |         23 |         52 |        243 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\TwistRelaxer.cs                                                | C#        |         48 |          3 |         11 |         62 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\IK Solvers\TwistSolver.cs                                                 | C#        |         95 |         19 |         27 |        141 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\InteractionSystem\InteractionEffector.cs                                  | C#        |        252 |         53 |         88 |        393 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\InteractionSystem\InteractionLookAt.cs                                    | C#        |         61 |         17 |         22 |        100 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\InteractionSystem\InteractionObject.cs                                    | C#        |        309 |        143 |         75 |        527 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\InteractionSystem\InteractionSystem.cs                                    | C#        |        501 |        172 |        163 |        836 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\InteractionSystem\InteractionTarget.cs                                    | C#        |        126 |         57 |         24 |        207 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\InteractionSystem\InteractionTrigger.cs                                   | C#        |        176 |         87 |         50 |        313 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Posers\GenericPoser.cs                                                    | C#        |         78 |         15 |         26 |        119 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Posers\HandPoser.cs                                                       | C#        |         52 |          8 |         18 |         78 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Posers\Poser.cs                                                           | C#        |         32 |         27 |         11 |         70 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Ragdoll Utility\RagdollUtility.cs                                         | C#        |        261 |         66 |         77 |        404 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Rotation Limits\RotationLimit.cs                                          | C#        |         98 |         54 |         38 |        190 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Rotation Limits\RotationLimitAngle.cs                                     | C#        |         42 |         24 |         17 |         83 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Rotation Limits\RotationLimitHinge.cs                                     | C#        |         44 |         24 |         17 |         85 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Rotation Limits\RotationLimitPolygonal.cs                                 | C#        |        191 |         75 |         68 |        334 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Rotation Limits\RotationLimitSpline.cs                                    | C#        |         48 |         34 |         21 |        103 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\AimController.cs                                                    | C#        |        154 |         71 |         59 |        284 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\AimPoser.cs                                                         | C#        |         46 |         16 |         17 |         79 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\Amplifier.cs                                                        | C#        |         62 |         20 |         20 |        102 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\BodyTilt.cs                                                         | C#        |         33 |          8 |         12 |         53 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\CCDBendGoal.cs                                                      | C#        |         30 |          4 |         11 |         45 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\EditorIK.cs                                                         | C#        |         76 |          3 |         16 |         95 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\EditorIKPose.cs                                                     | C#        |         43 |          0 |          9 |         52 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\HitReaction.cs                                                      | C#        |        159 |         41 |         50 |        250 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\HitReactionVRIK.cs                                                  | C#        |        152 |         38 |         50 |        240 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\Inertia.cs                                                          | C#        |         67 |         21 |         20 |        108 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\LookAtController.cs                                                 | C#        |        105 |          9 |         38 |        152 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\OffsetModifier.cs                                                   | C#        |         73 |         17 |         24 |        114 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\OffsetModifierVRIK.cs                                               | C#        |         33 |          7 |         15 |         55 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\OffsetPose.cs                                                       | C#        |         31 |         11 |         12 |         54 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\PenetrationAvoidance.cs                                             | C#        |         56 |         15 |         19 |         90 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\Recoil.cs                                                           | C#        |        173 |         26 |         48 |        247 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\ShoulderRotator.cs                                                  | C#        |         44 |         15 |         19 |         78 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\VRIKCalibrator.cs                                                   | C#        |        402 |        132 |         95 |        629 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\VRIKLODController.cs                                                | C#        |         32 |          5 |         10 |         47 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\Tools\VRIKRootController.cs                                               | C#        |         67 |          0 |         14 |         81 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Aim IK\Scripts\AimBoxing.cs                                        | C#        |         13 |          7 |          6 |         26 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Aim IK\Scripts\AimSwing.cs                                         | C#        |         12 |          0 |          5 |         17 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Aim IK\Scripts\SecondHandOnGun.cs                                  | C#        |         30 |          6 |          9 |         45 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Aim IK\Scripts\SimpleAimingSystem.cs                               | C#        |         60 |         15 |         23 |         98 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Aim IK\Scripts\TerrainOffset.cs                                    | C#        |         29 |         12 |         14 |         55 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Biped IK\Scripts\BipedIKvsAnimatorIK.cs                            | C#        |         59 |          9 |         17 |         85 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\CCD IK\Scripts\MechSpider.cs                                       | C#        |         73 |         16 |         27 |        116 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\CCD IK\Scripts\MechSpiderController.cs                             | C#        |         23 |          6 |          8 |         37 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\CCD IK\Scripts\MechSpiderLeg.cs                                    | C#        |        115 |         23 |         40 |        178 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\CCD IK\Scripts\MechSpiderParticles.cs                              | C#        |         25 |          4 |         10 |         39 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\AnimationWarping.cs                                  | C#        |         84 |         24 |         21 |        129 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\AnimatorController3rdPerson.cs                       | C#        |         34 |         14 |         16 |         64 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\AnimatorController3rdPersonIK.cs                     | C#        |         71 |         24 |         28 |        123 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\CharacterAnimationThirdPersonIK.cs                   | C#        |         28 |          5 |         11 |         44 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\CharacterController3rdPerson.cs                      | C#        |         31 |         12 |         14 |         57 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\EffectorOffset.cs                                    | C#        |         23 |         10 |          8 |         41 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\ExplosionDemo.cs                                     | C#        |         49 |         12 |         16 |         77 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\FBBIKSettings.cs                                     | C#        |         40 |          8 |         13 |         61 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\FBIKBendGoal.cs                                      | C#        |         18 |          3 |         10 |         31 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\FBIKBoxing.cs                                        | C#        |         38 |          9 |         11 |         58 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\FBIKHandsOnProp.cs                                   | C#        |         38 |         15 |         18 |         71 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\FPSAiming.cs                                         | C#        |         98 |         32 |         40 |        170 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\FPSCharacter.cs                                      | C#        |         23 |          5 |         11 |         39 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\HitReactionTrigger.cs                                | C#        |         24 |          7 |         10 |         41 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\HoldingHands.cs                                      | C#        |         25 |          7 |         11 |         43 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\InteractionC2CDemo.cs                                | C#        |         19 |          5 |          9 |         33 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\InteractionDemo.cs                                   | C#        |         45 |          8 |         21 |         74 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\InteractionSystemTestGUI.cs                          | C#        |         30 |          3 |         12 |         45 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\KissingRig.cs                                        | C#        |         67 |         25 |         23 |        115 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\MotionAbsorb.cs                                      | C#        |         86 |         17 |         28 |        131 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\MotionAbsorbCharacter.cs                             | C#        |         28 |          9 |          9 |         46 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\OffsetEffector.cs                                    | C#        |         27 |          7 |         11 |         45 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\PendulumExample.cs                                   | C#        |         67 |         15 |         27 |        109 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\PickUp2Handed.cs                                     | C#        |        109 |         21 |         30 |        160 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\PickUpBox.cs                                         | C#        |         16 |          8 |          7 |         31 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\PickUpSphere.cs                                      | C#        |         13 |          7 |          6 |         26 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\RagdollUtilityDemo.cs                                | C#        |         24 |          2 |          8 |         34 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\RecoilTest.cs                                        | C#        |         18 |          3 |          9 |         30 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\ResetInteractionObject.cs                            | C#        |         34 |          6 |         12 |         52 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\SoccerDemo.cs                                        | C#        |         24 |          2 |         12 |         38 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\TouchWalls.cs                                        | C#        |        128 |         25 |         36 |        189 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\TransferMotion.cs                                    | C#        |         20 |          4 |          9 |         33 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\TwoHandedProp.cs                                     | C#        |         31 |          9 |         13 |         53 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\FBBIK\Scripts\UserControlInteractions.cs                           | C#        |         39 |         14 |         17 |         70 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Grounder\Scripts\GrounderDemo.cs                                   | C#        |         18 |          3 |          6 |         27 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Grounder\Scripts\PlatformRotator.cs                                | C#        |         56 |         11 |         15 |         82 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Limb IK\Scripts\BendGoal.cs                                        | C#        |         17 |          4 |          7 |         28 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\Rotation Limits\Scripts\Turret.cs                                  | C#        |         26 |         10 |         10 |         46 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\VRIK\Scripts\HitReactionVRIKTrigger.cs                             | C#        |         24 |          7 |          9 |         40 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\VRIK\Scripts\VRIKCalibrationBasic.cs                               | C#        |         50 |          8 |         11 |         69 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\VRIK\Scripts\VRIKCalibrationController.cs                          | C#        |         45 |          9 |          8 |         62 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\VRIK\Scripts\VRIKPlatform.cs                                       | C#        |         19 |          1 |          8 |         28 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\FinalIK\_DEMOS\VRIK\Scripts\VRIKPlatformController.cs                             | C#        |         46 |          2 |         11 |         59 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Camera Controllers\CameraController.cs                 | C#        |        146 |         18 |         45 |        209 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Camera Controllers\CameraControllerFPS.cs              | C#        |         26 |          5 |         11 |         42 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Character Controllers\CharacterAnimationBase.cs        | C#        |         54 |          7 |         17 |         78 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Character Controllers\CharacterAnimationSimple.cs      | C#        |         23 |          6 |         12 |         41 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Character Controllers\CharacterAnimationThirdPerson.cs | C#        |         69 |         12 |         22 |        103 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Character Controllers\CharacterBase.cs                 | C#        |         81 |         13 |         25 |        119 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Character Controllers\CharacterThirdPerson.cs          | C#        |        298 |         63 |         97 |        458 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Character Controllers\SimpleLocomotion.cs              | C#        |         98 |         11 |         33 |        142 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Character Controllers\UserControlAI.cs                 | C#        |         37 |          6 |         13 |         56 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Character Controllers\UserControlThirdPerson.cs        | C#        |         37 |         10 |         17 |         64 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Misc\ApplicationQuit.cs                                | C#        |          9 |          1 |          4 |         14 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Demo Assets\Scripts\Misc\SlowMo.cs                                         | C#        |         21 |          3 |          7 |         31 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\AxisTools.cs                                                       | C#        |         55 |         27 |         14 |         96 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\BipedLimbOrientations.cs                                           | C#        |         45 |         83 |         10 |        138 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\BipedNaming.cs                                                     | C#        |        162 |         43 |         36 |        241 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\BipedReferences.cs                                                 | C#        |        373 |        118 |        106 |        597 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\Comments.cs                                                        | C#        |          8 |          6 |          4 |         18 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\DemoGUIMessage.cs                                                  | C#        |         13 |          1 |          5 |         19 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\Hierarchy.cs                                                       | C#        |        107 |         34 |         22 |        163 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\InspectorComment.cs                                                | C#        |         20 |          3 |          6 |         29 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\Interp.cs                                                          | C#        |        292 |         21 |         51 |        364 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\LargeHeader.cs                                                     | C#        |         16 |          3 |          6 |         25 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\LayerMaskExtensions.cs                                             | C#        |         87 |         40 |         15 |        142 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\Navigator.cs                                                       | C#        |        168 |         12 |         39 |        219 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\QuaTools.cs                                                        | C#        |        147 |         74 |         45 |        266 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\Singleton.cs                                                       | C#        |         16 |          3 |          7 |         26 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\SolverManager.cs                                                   | C#        |         80 |         14 |         34 |        128 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\TriggerEventBroadcaster.cs                                         | C#        |         16 |          3 |          7 |         26 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\V2Tools.cs                                                         | C#        |         53 |         18 |         12 |         83 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\V3Tools.cs                                                         | C#        |        155 |         78 |         54 |        287 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\RootMotion\Shared Scripts\Warning.cs                                                         | C#        |         20 |          3 |          7 |         30 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Attributes.xml                                      | XML       |      5,444 |          0 |        257 |      5,701 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Editor.xml                                          | XML       |     10,741 |          0 |        112 |     10,853 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Assemblies\Sirenix.Serialization.Config.xml                                          | XML       |        202 |          0 |          1 |        203 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.Editor.xml                                              | XML       |      7,758 |          0 |         14 |      7,772 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.xml                                                     | XML       |      3,655 |          0 |          4 |      3,659 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Assemblies\link.xml                                                                  | XML       |          6 |          0 |          0 |          6 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\AssemblyImportSettingsAutomation.cs                    | C#        |        105 |          5 |         24 |        134 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\BuildAOTAutomation.cs                                  | C#        |         58 |          5 |         16 |         79 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\EnsureOdinInspectorDefine.cs                           | C#        |         40 |         69 |         12 |        121 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\FixBrokenUnityObjectWrapperDrawer.cs                   | C#        |        175 |          5 |         28 |        208 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\SyncListDrawer.cs                                      | C#        |         66 |         11 |         11 |         88 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\SyncVarAttributeDrawer.cs                              | C#        |         26 |         11 |          5 |         42 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\Vector2IntMinMaxAttributeDrawer.cs                     | C#        |         48 |         17 |          8 |         73 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\VectorIntDrawers.cs                                    | C#        |        102 |         23 |         16 |        141 |
| c:\Users\vardy\OneDrive\GardenHouse\Assets\Plugins\Sirenix\Odin Inspector\Scripts\Editor\VectorIntPropertyResolvers.cs                          | C#        |         44 |          5 |          5 |         54 |
